train_num,train_name,src,dest,arr_time,dest_time,duration,days,sl,cc,ac3,ac2,ac1,first,2s
22654,Delhi H Nizamuddin Trivandrum Cent Sf Exp,ST,TCR,03:05,07:22,1692,nnynnnn,505,NaN,1621,2341,NaN,NaN,NaN
22660,Dehradun Kochuveli Sf Express,ST,TCR,06:25,08:57,1584,nnynnnn,505,NaN,1836,2661,NaN,NaN,NaN
19332,Indore Kochuveli Weekly Express,ST,TCR,06:37,12:22,1780,nnnynnn,505,NaN,1576,2341,NaN,NaN,NaN
16311,Shri Ganganagar Kochuveli Weekly Express,ST,TCR,16:50,20:42,1662,nnnynnn,505,NaN,1791,2661,NaN,NaN,NaN
16333,Veraval Trivandrum Central Express,ST,TCR,16:50,20:42,1662,nnnnynn,505,NaN,1791,2661,NaN,NaN,NaN
12903,Mumbai Central Amritsar Golden Temple Sf Mail,ST,ASR,01:05,05:30,1705,yyyyyyy,505,NaN,1635,2650,4445,NaN,NaN
12925,Mumbai Bandra T Amritsar Paschim Sf Express,ST,ASR,16:20,19:20,1620,yyyyyyy,505,NaN,1755,2280,4181,NaN,NaN
22451,Mumbai Bandra T Chandigarh Sf Express,ST,CDG,16:00,16:20,1460,nynnynn,505,NaN,1610,2241,NaN,NaN,NaN
12449,Madgaon Chandigarh Goa Sampark Kranti Express,ST,CDG,00:15,23:45,1410,nnnyynn,505,NaN,1475,2335,3575,NaN,NaN
,,, ,,,,,,,,,,,
